isbn_13,description
9781447218296,A gripping flawless novel memorable atmospheric and chilling Sophie Hannah Sixteen year old Shelley and her mother move to Honeysuckle cottage in the middle of the countryside fleeing their fears and anxieties and hoping to put behind them years of suffering at the hands of others Shelley has endured terrible bullying from the girls who used to be her best friends and her mother has been left reeling following a divorce from her selfish demanding husband For Shelley and her mother are mice timid nervous and obliging And for a while in their cottagehaven the women flourish But one night their fragile peace is shattered when Shelley wakes to hear a creak on the stairs Someone has broken into the house In the shocking chilling events that follow Shelleys world is turned on its head as the women find themselves tested as never before And as their lives spiral out of control the tension reaches fever pitch and Shelley begins to wonder if she and her mother are not mice after all then what are they Truly remarkable Mice is a book many will without question be talking about Daily Express A sophisticated psychological thriller gripping Guardian
9780822208389,Presents a dramatization of the tragic story of a friendship between two migrant workers George and Lenny and their dream of owning a farm
9780399549199,Its a pillar says one Its a fan says another One by one the seven blind mice investigate the strange Something by the pond And one by one they come back with a different theory Its only when the seventh mouse goes outand explores the whole Somethingthat the mice see the whole truth Based on a classic Indian tale Ed Youngs beautifully rendered version is a treasure to enjoy again and again Immensely appealingThe Horn Book starred review
9780764118128,Discusses the life of pet mice focusing on their origin physical characteristics feeding caging breeding health care and more
9788184974560,A Tasty Feast for the Mice begins with a group of boys travelling in a train and returning to school after their summer vacation They are not quite in their elements as their favourite Sanskrit teacher has left school and a new teacher is supposed to be appointed in his place On the way a gentleman enters their compartment and the boys make all efforts to get rid of him But the gentleman tries to win over the boys in his own peculiar ways
9780674631113,Collects seven essays in which 1965 Nobel Laureate in genetics reviews critical findings in biology and reveals his views on art and science beauty and truth good and evil and mankinds quest for knowledge
9780141389103,Unlike most kittens Martin doesnt like eating mice let alone catching them When he catches one by mistake he decides to keep it as a pet and soon Drusilla the mouse is established in an old bath tub in the attic Martin is kept busy getting food water bedding and then Drusillas babies start to arrive How can Martin cope with all his mice From the number one author of animal magic comes this wonderful new edition of Martins Mice
9781350035959,This book offers students of Greek and scholars interested in Greek literature the first Englishlanguage commentary on the Battle of Frogs and Mice a short animal epic ascribed to Homer in the ancient world The book includes a contextualizing introduction covering issues of literary genre literary history and the language of Homeric Greek In addition to a revised Greek text the volume also offers a new translation of the poem The commentary furnishes readers with extensive linguistic and literary information so that they may investigate the problem of the poems character and authorship on their own A full vocabulary at the back ensures this is a onestop shop for students reading the poem
9781442456860,The lights are outand so are the impy house micein this delightful nighttime catandmouse adventure Includes audio Could it be True that mice arenice Thats certainly what the cat thinks in this afterdark romp just perfect for young children Featuring whimsical comforting text and vibrant collage illustrations from Caldecott Honor medalist Lois Ehlert this engaging eBook with audio puts a fresh spin on the classic catandmouse dynamic
9780141185101,Streetwise George and his big childlike friend Lennie are drifters searching for work in the fields and valleys of California They have nothing except the clothes on their back and a hope that one day theyll find a place of their own and live the American dream But dreams come at a price Gentle giant Lennie doesnt know his own strength and when they find work at a ranch he gets into trouble with the bosss daughterinlaw Trouble so bad that even his protector George may not be able to save him 
9780738665474,REAs MAXnotes for John Steinbecks Of Mice and Men MAXnotes offer a fresh look at masterpieces of literature presented in a lively and interesting fashion Written by literary experts who currently teach the subject MAXnotes will enhance your understanding and enjoyment of the work MAXnotes are designed to stimulate independent thought about the literary work by raising various issues and thoughtprovoking ideas and questions MAXnotes cover the essentials of what one should know about each work including an overall summary character lists an explanation and discussion of the plot the works historical context illustrations to convey the mood of the work and a biography of the author Each chapter is individually summarized and analyzed and has study questions and answers
9780313330568,One of the great works of American literature Steinbecks Of Mice and Men is popular with the international reading public and is widely taught at high schools and colleges Although it is a short work with relatively few characters it is intricately structured This book is an introductory guide to the novel Included are chapters on the books plot textual history social and intellectual contexts themes and ideas literary style and critical reception The volume concludes with a valuable bibliographical essay
9781410336330,A Study Guide for John Steinbecks Of Mice and Men excerpted from Gales acclaimed Novels for StudentsThis concise study guide includes plot summary character analysis author biography study questions historical context suggestions for further reading and much more For any literature project trust Novels for Students for all of your research needs
9781609339043,None
9781101615218,Penguin Classics presents John Steinbecks classic tale as an eBook enhanced with ten exclusive video clips featuring students responses questions for classroom discussions and an American Dream assignment Nobel Prizewinner John Steinbecks Of Mice and Men remains one of Americas most widely read and taught novels An unlikely pair George and Lennie two migrant workers in California during the Great Depression grasp for their American Dream Laborers in Californias dusty vegetable fields they hustle work when they can living a handtomouth existence For George and Lennie have a plan to own an acre of land and a shack they can call their own When they land jobs on a ranch in the Salinas Valley the fulfillment of their dream seems to be within their grasp But even George cannot guard Lennie from the provocations nor predict the consequences of Lennies unswerving obedience to the things George taught him Of Mice and Men Teachers Edition includes the following An introduction and suggested further reading by Susan Shillinglaw a professor of English at San Jose State University and ScholarinResidence at the National Steinbeck Center in Salinas The poem To a Mouse On Turning Her Up in Her Nest with the Plough November 1785 by Robert Burns the original source of Steinbecks title Of Mice and Men The 1962 Nobel Banquet Speech by John Steinbeck An exclusive audio interview with awardwinning actor James Earl Jones on his stage performances in Of Mice and Men Ten exclusive videos of students on major themes from the novel tied to group discussion questions included in the eBook and an American Dream assignment for the ultimate educational experience
9781438139975,Provides a collection of critical essays on Steinbecks Of mice and men
9781493860869,Students analyze Of Mice and Men using key skills for college and career readiness Close reading of the text is required to answer textdependent questions Included are student pages with the textdependent questions as well as suggested answers
9780142000656,The biblical account of Cain and Abel is echoed in the history of two generations of the Trask family in California
9780241960110,Eddie Carbone is a longshoreman and a straightforward man with a strong sense of decency and of honour For Eddie its a privilege to take in his wifes cousins straight off the boat from Italy But as his niece begins to fall for one of them its clear that its not just as Eddie claims that hes too strange too sissy too careless for her but that something bigger deeper is wrong and wrong inside Eddie in a way he cant face Something which threatens the happiness of their whole family
9781474225588,This Student Edition of A View from the Bridge is perfect for students of literature and drama and offers an unrivalled guide to Millers play It features an extensive introduction by Steve Marino which includes a chronology of Millers life and times a summary of the plot and commentary on the characters themes language context and production history of the play Together with over twenty questions for further study and detailed notes on words and phrases from the text this is the definitive edition of the play Set among ItalianAmericans on the Brooklyn waterfront A View from the Bridge is the story of longshoreman Eddie Carbone When his wifes cousins arrive as illegal immigrants from Italy he is honoured to take them into his house But when his niece begins to fall in love with one of them Eddie grows increasingly suspicious eventually precipitating his violation of the moral and cultural codes of his community and leading to the plays tragic finale With its examination of the themes of sexuality responsibility betrayal and vengeance the play is vintage Miller and a modern classic
9780582506244,How to study a play Author and context Setting and background Character tree Timeline General summary Themes Structures Characters Language ans style Quotations
9780521768740,Arthur Miller is regarded as one of the most important playwrights of the twentieth century and his work continues to be widely performed and studied around the world This updated Companion includes Millers work since the publication of the first edition in 1997 the plays Mr Peters Connections Resurrection Blues and Finishing the Picture and key productions of his plays since his death in 2005 The chapter on Miller and the cinema has been completely revised to include new films and demonstrates that Millers work remains an important source for filmmakers In addition to detailed analyses of plays including Death of a Salesman and The Crucible Millers work is also placed within the context of the social and political climate of the time The volume closes with a bibliographic essay which reviews the key studies of Miller and also contains a detailed chronology of the work of this influential dramatist
9781920693596,Genre Structure Style Characters Themes
9780008228323,A whirlwind outofthisgalaxy adventure Sarah J Maas bestselling author of A Court of Thorns and Roses and Throne of Glass There is darkness sweeping across the stars
9781444920451,Jed must confront the revelation of his True identity he is the alchemist Fulcanelli who discovered the elixir of life and used it to become young again He must take the elixir one more time in order to live for ever If he doesnt take it he will die But Jed only has nine months left to take the elixir And he has absolutely no idea how to make it The challenge is clear Jed Kassia and co must hunt down the secret recipeTheir quest takes them to Prague and then on to Paris but hot on their heels are NOAH the secret organisation that will do anything to get their hands on the secret to eternal life Jed has everything to live for But who can he trust The second in an actionpacked series full of adventure this book has an illustrated narrative running through it helping readers to solve the mystery alongside the characters in the story
9780415262903,None
9781488026034,From 1 New York Times bestselling author duo Sasha Alsberg and Lindsay Cummings comes the first book in The Androma Saga an actionpacked thrill ride of adventure intrigue and steamy starcrossed romance Known across the galaxy as the Bloody Baroness Captain Androma Racella and her motley crew of spacebound privateers roam the Mirabel galaxy on the glass starship Marauder taking what mercenary work they can find to stay alive When a routine job goes awry the Marauders allgirl crew find themselves placed at the mercy of a dangerous bounty hunter from Andis past Coerced into a lifethreatening mission and straight into the path of a shadowy ruler bent on revenge Andi and her crew will either restore order to the shipor start a war that will devour worlds
