uid,isbn_13,isbn_10,title,authors,publisher,publishedDate,categories,averageRating,ratings,favourites_count,reading_now_count,to_read_count,have_read_count,thumbnail
gYXo08VZOI4C,9.78145E+12,1447218299,Mice,Gordon Reece,Pan Macmillan,02/02/2012,Fiction,4,7,1,1,1,1,http://books.google.com/books/content?id=gYXo08VZOI4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
09wCs_QXKXkC,9.78014E+12,141923474,Of Mice and Men,John Steinbeck,Penguin UK,07/09/2000,Fiction,4,3005,0,0,0,0,http://books.google.com/books/content?id=09wCs_QXKXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
CeCuAVgRGCsC,9.78082E+12,822208385,Of Mice and Men,John Steinbeck,Dramatists Play Service Inc,1964,Drama,3.5,14,0,0,0,0,http://books.google.com/books/content?id=CeCuAVgRGCsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
8G0JuXstiRIC,9.78078E+12,778717542,Mice,Rebecca Sjonger,Crabtree Publishing Company,2004,Juvenile Nonfiction,0,0,0,0,0,0,http://books.google.com/books/content?id=8G0JuXstiRIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
EMUiAgplnKMC,9.7804E+12,395866197,Halloween Mice!,Bethany Roberts,Houghton Mifflin Harcourt,18/08/1997,JUVENILE FICTION,2,1,0,0,0,0,http://books.google.com/books/content?id=EMUiAgplnKMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
WPXxxEJtDoUC,9.78064E+12,064309931X,Native Mice and Rats,Bill Breed,CSIRO PUBLISHING,17/12/2007,Science,0,0,0,0,0,0,http://books.google.com/books/content?id=WPXxxEJtDoUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
AW-ZDgAAQBAJ,9.7804E+12,399549196,Seven Blind Mice,Ed Young,Penguin,13/03/2012,Juvenile Fiction,4,26,0,0,0,0,http://books.google.com/books/content?id=AW-ZDgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
LJ1KIGJsav0C,9.78076E+12,764118129,Mice,Sharon Lynn Vanderlip,Barron's Educational Series,2001,Pets,0,0,0,0,0,0,http://books.google.com/books/content?id=LJ1KIGJsav0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
C8-PkAfzShoC,9.78019E+12,019286193X,The Strange Case of the Spotted Mice and Other Classic Essays on Science,Peter Brian Medawar,Oxford University Press| USA,1996,Science,3.5,2,0,0,0,0,http://books.google.com/books/content?id=C8-PkAfzShoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
32NHDwAAQBAJ,9.78135E+12,1350035955,The Homeric Battle of the Frogs and Mice,Joel P. Christensen,Bloomsbury Publishing,08/02/2018,Literary Criticism,0,0,0,0,0,0,http://books.google.com/books/content?id=32NHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
uXJfMd5jwH0C,9.78144E+12,1444003143,Horrid Henry,Francesca Simon,Hachette UK,04/11/2010,Juvenile Fiction,4.5,6,0,0,0,0,http://books.google.com/books/content?id=uXJfMd5jwH0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
LJbEvK9QZkIC,9.78144E+12,1444008552,Nightmare!,Francesca Simon,Hachette UK,06/06/2013,Juvenile Fiction,0,0,0,0,0,0,http://books.google.com/books/content?id=LJbEvK9QZkIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
